Hosts,Title,Description,Additional Hosts,Age Restriction,Day,Start Time,Location,Duration,Panel Type
Exindiv,The Art of Critique,"A helpful guide on what, when, why, and how to provide helpful critiques.",,18+ Only,Saturday,4:00 PM,Main,20 minutes,Live
Citrine Husky,The Blind Side,Have you ever wondered what it is like to be blind in a sighted world? Join  Citrine Husky and Snowflake as they explain and show you the interesting aspects of being visually impaired,Snowflake,All attendees admitted,Sunday,12:00 PM,Main,50 minutes,Pre-Recorded
Alkali,The Dragget Show Live,"Join Xander the Dragon and Alkali the Ferret as these guys record their podcast live during the Fur Squared On Line Event.  Come watch as they talk about anything, everything, & nothing.",Xander the Blue,All attendees admitted,Friday,2:30 PM,Main,50 minutes,Live
NotIggy,The Great Game of Video Golf:  Draggor v Iggy for cash,Draggor wants to lose some cash,Draggor,All attendees admitted,Saturday,12:00 PM,Secondary,50 minutes,Live
Sky Draco ,The Mini Derg Show ,This is the virtual show where Sky Draco talks about random times in his life dealt with and mainly being funny dragon. ,,18+ Only,Saturday,7:30 PM,Secondary,20 minutes,Pre-Recorded
Tonya Song,Tonya Song in Concert,"Tonya Song is a composer, pianist, and singer fandom. Her music is a vibrant mix of Native music, rock, latin, and classical. She will perform brand new original works as well as some covers, playing piano and singing as well as playing other instruments.",,All attendees admitted,,,Artists & Dealers,50 minutes,Live
Serathin,Transformation Time,"Lycanthropes, Shapeshifters, and Changlings, oh my!  TF writer Serathin would like to spend some time talking all about Transformation, from triggers to types and everything in between.",,All attendees admitted,,,Artists & Dealers,50 minutes,Live
Iggy,Trivia Night,Let's all get in discord and play trivia!,,All attendees admitted,Saturday,8:30 PM,Secondary,50 minutes,Live
Uncle Kage,Uncle Kage's Story Hour,Old guy drinks wine and makes face noises for an hour.,,18+ Only,Saturday,4:30 PM,Main,1 hour 20 minutes,Live
Shallie,Vocal Recording on a Budget,"Do you want to record vocals, but don't know where to start? I can help you with that! This panel will cover the basics of home vocal recording, and provide equipment suggestions for a variety of budgets. I'll teach you how to make your ideas a reality, without breaking the bank!",,All attendees admitted,Saturday,4:00 PM,Secondary,50 minutes,Live
Iggy,Wait Wait Don't Firr Me,A 'game show' for panelists and the audience based on 'current' events.,,All attendees admitted,Sunday,4:30 PM,Secondary,50 minutes,Live
Joel Kreissman,Worldbuilding: Designing your fictional government,"Want to write a fantasy setting not simply ruled by vague ""lords?"" Got questions on how to run a galactic empire? Come see experienced worldbuilder Joel Kreissman's panel on developing a functional fictional government.",,All attendees admitted,Friday,3:30 PM,Main,50 minutes,Live
Serathin,Writing for Furries,"Anthropomorphic characters are a mainstay in many books, and whether you're just curious on how to do so yourself or are looking to author your own story this is the place to go to talk about how to translate the fur to the word!",,All attendees admitted,,,Artists & Dealers,50 minutes,Live
Fur Squared Staff,Opening Ceremonies,,,All attendees admitted,Friday,2:00 PM,Main,20 minutes,Live
Fur Squared Staff,Closing Ceremonies,,,All attendees admitted,Sunday,7:00 PM,Main,50 minutes,Live
